Name ,Details, Price in INR , Price in USD ,Link
Tape,Its basic double sided tape, INR 220.00 , $2.39 ,https://www.amazon.in/Zulaxy-Adhesive-Transparent-Multipurpose-Mounting/dp/B0FWYXPWRM/ref=sr_1_1_sspa?crid=20L874E496BAS&dib=eyJ2IjoiMSJ9.JitirpunrqnES8_23naKT5q7IeY_hsKiXlxcZGPFnzRnByI59V6Pez5mD35q1ujfuqw7rHcBIzLK0ExMpYek0l_kTLOPGYI44lffTbAY63Iw0XQOy_kry7g576hHWod8QEZt_rrT-aZ6nPMpUBdvxEmOLNq97mMD7sYvOb2iXZMsrJQ77OSMBL3ja9BAqv_Z9Dkm5L1NmUFJ-_N6uwaTmOb7eUqPkRmUKEJgp60OPHYnjks8vISSkO8hDgvsZ_nfQ_R4bA63pMIZcTDdoiGdBW9FA9Hc3Nule9zRwDDtInw.cbs3_VeQB4PBqT6KbIVSUwp7boPAzdxA5EZtcdEPf70&dib_tag=se&keywords=double%2Btape%2Bstrong%2Bfor%2Bwall&qid=1772516711&sprefix=double%2B%2Caps%2C984&sr=8-1-spons&aref=bF6qsvYXSc&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
Lithuim Battery,3.7V 2900mAh 18650 Battery, INR 230.00 , $2.50 ,https://robocraze.com/products/3-7v-2900mah-18650-battery?variant=44442689011936&country=IN&currency=INR
Charging Module,DFRobot MP2636 Power Booster & Charger Module," INR 1,240.00 ", $13.46 ,https://robocraze.com/products/dfrobot-mp2636-power-booster-charger-module?variant=47362616459488&country=IN&currency=INR&utm_source=chatgpt.com
MCU,Raspberry Pi Pico 2 W with Header," INR 1,200.00 ", $13.03 ,https://robu.in/product/raspberry-pi-pico-2-w-with-header/#tab-questions
Screws,"M4 X 6mm Phillips CSK SS 304 Screw (Dia. 4mm, Length 6mm)", INR 80.00 , $0.87 ,https://onlyscrews.in/products/phillips-csk-m4-x-6mm-pack-of-20?variant=48461969424697
Switchs ,Gateron Type R (Pack of 10) and HMX Sonja HC (Pack of 10), INR 880.00 , $9.55 ,"https://stackskb.com/store/ttc-pokayoke-hotswap-sockets-v2-10000-cycles/,https://stackskb.com/store/hmx-sonja-hc-pack-of-10/"
Swap Sockets,TTC Pokayoke Hotswap Sockets V2 (10000 cycles), INR 300.00 , $3.26 ,https://stackskb.com/store/ttc-pokayoke-hotswap-sockets-v2-10000-cycles/
Keycaps,Numpad + Keycaps, INR 800.00 , $8.69 ,https://stackskb.com/store/numpad-keycaps/?attribute_variant=Black+Gradient
PCB,Lion Circuits is the best for this," INR 6,000.00 ", $65.14 ,https://www.lioncircuits.com/quote?layers=2
Cables,Output Cable with Micro to USB," INR 450.00 ", $5 ,https://www.amazon.in/gp/product/B09YLYB9PB/ref=ewc_pr_img_1?smid=A1WYWER0W24N8S&th=1
Total,," INR 11,400.00 ", $125 ,



